Date,Tmax_1,Tmin_1,Tavg_1,Depart_1,DewPoint_1,WetBulb_1,Sunrise_1,Sunset_1,CodeSum_1,SnowFall_1,PrecipTotal_1,StnPressure_1,ResultSpeed_1,ResultDir_1,AvgSpeed_1,Tmax_2,Tmin_2,Tavg_2,DewPoint_2,WetBulb_2,CodeSum_2,PrecipTotal_2,StnPressure_2,ResultSpeed_2,ResultDir_2,AvgSpeed_2
2007-05-01 00:00:00,83,50,67.0,14.0,51,56.0,2007-05-01 04:48:00,2007-05-01 18:49:00,MD,0.0,0.0,29.1,1.7,27,9.2,84,52,68.0,51,57.0,MD,0.0,29.18,2.7,25,9.6
2007-05-02 00:00:00,59,42,51.0,-3.0,42,47.0,2007-05-02 04:47:00,2007-05-02 18:50:00,BR,0.0,0.0,29.38,13.0,4,13.4,60,43,52.0,42,47.0,BR HZ,0.0,29.44,13.3,2,13.4
2007-05-03 00:00:00,66,46,56.0,2.0,40,48.0,2007-05-03 04:46:00,2007-05-03 18:51:00,MD,0.0,0.0,29.39,11.7,7,11.9,67,48,58.0,40,50.0,HZ,0.0,29.46,12.9,6,13.2
2007-05-04 00:00:00,66,49,58.0,4.0,41,50.0,2007-05-04 04:44:00,2007-05-04 18:52:00,RA,0.0,0.001,29.31,10.4,8,10.8,78,51,59.305479735581685,42,50.0,MD,0.0,29.36,10.1,7,10.4
2007-05-05 00:00:00,66,53,60.0,5.0,38,49.0,2007-05-05 04:43:00,2007-05-05 18:53:00,MD,0.0,0.001,29.4,11.7,7,12.0,66,54,60.0,39,50.0,MD,0.001,29.46,11.2,7,11.5
2007-05-06 00:00:00,68,49,59.0,4.0,30,46.0,2007-05-06 04:42:00,2007-05-06 18:55:00,MD,0.0,0.0,29.57,14.4,11,15.0,68,52,60.0,30,46.0,MD,0.0,29.62,13.8,10,14.5
2007-05-07 00:00:00,83,47,65.0,10.0,41,54.0,2007-05-07 04:41:00,2007-05-07 18:56:00,RA,0.0,0.001,29.38,8.6,18,10.5,84,50,67.0,39,53.0,MD,0.0,29.44,8.5,17,9.9
2007-05-08 00:00:00,82,54,68.0,12.0,58,62.0,2007-05-08 04:39:00,2007-05-08 18:57:00,BR,0.0,0.0,29.29,2.7,11,5.8,80,60,70.0,57,63.0,HZ,0.001,29.36,2.5,8,5.4
2007-05-09 00:00:00,77,61,69.0,13.0,59,63.0,2007-05-09 04:38:00,2007-05-09 18:58:00,BR HZ,0.0,0.13,29.21,3.9,9,6.2,76,63,70.0,60,63.0,BR HZ,0.02,29.28,3.9,7,5.9
2007-05-10 00:00:00,84,56,70.0,14.0,52,60.0,2007-05-10 04:37:00,2007-05-10 18:59:00,BR,0.0,0.0,29.2,0.7,17,4.1,83,59,71.0,52,61.0,BR HZ,0.0,29.26,2.0,9,3.9
2007-05-11 00:00:00,70,51,61.0,4.0,42,51.0,2007-05-11 04:36:00,2007-05-11 19:00:00,MD,0.0,0.0,29.33,11.3,3,12.9,73,49,61.0,44,51.0,MD,0.0,29.39,11.7,36,12.8
